Year,Total,Total_Male,Total_Female,White_Total,Black_Total,Hispanic_Total,API_Total,AIAN_Total,Other_notAIAN_Total
2011,993,404,589,800,26,113,48,,
2011,110,39,71,63,13,26,8,,
2011,34,15,18,27,,,,,
2011,6,,,,,,,,
2011,43,11,31,28,,9,,,
2011,37,13,24,12,6,14,5,,
2011,211,79,132,178,,22,,,
2011,8,,5,8,,,,,
2011,63,25,37,52,,8,,,
2011,7,,,6,,,,,
2011,69,28,41,58,,9,,,
2011,,,,,,,,,
2011,34,11,23,30,,,,,
2011,,,,,,,,,
2011,23,9,13,21,,,,,
2011,15,5,10,10,,,,,
2011,,,,,,,,,
2011,22,7,15,21,,,,,
2011,34,13,21,26,,5,,,
2011,204,93,111,174,,12,15,,
2011,37,18,19,34,,,,,
2011,34,16,18,23,,,9,,
2011,34,17,17,30,,,,,
2011,62,25,38,51,,7,,,
2011,,,,,,,,,
2011,18,10,8,18,,,,,
2011,23,10,13,22,,,,,
2011,169,68,101,149,5,10,,,
2011,45,20,25,43,,,,,
2011,39,17,22,29,,6,,,
2011,,,,,,,,,
2011,52,18,34,46,,,,,
2011,27,9,17,26,,,,,
2011,204,85,119,186,,10,6,,
2011,,,,,,,,,
2011,53,22,31,49,,,,,
2011,13,5,8,13,,,,,
2011,50,17,33,44,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,34,16,19,30,,,,,
2011,14,7,7,14,,,,,
2011,32,16,16,30,,,,,
2011,5,,,5,,,,,
2011,95,40,55,50,,33,11,,
2011,29,13,16,15,,10,,,
2011,9,6,,9,,,,,
2011,11,,8,5,,5,,,
2011,21,8,13,5,,12,,,
2011,23,10,14,15,,6,,,
2011,120,50,69,62,,42,13,,
2011,278,111,167,240,,25,6,,
2011,211,82,129,178,,13,15,,
2011,6,,,,,,,,
2011,203,82,120,155,11,26,10,,
2011,182,79,103,165,5,7,,,
2011,44,20,23,42,,,,,
2011,51,22,29,28,,16,6,,
2011,9,6,,9,,,,,
2011,,,,,,,,,
2011,50,21,30,41,,7,,,
2011,32,9,23,27,,,,,
2011,46,18,27,42,,,,,
2011,,,,,,,,,
2011,32,10,22,28,,,,,
2011,14,5,9,10,,,,,
2011,11,,8,5,,5,,,
2011,43,19,24,32,,7,,,
2011,22,11,11,20,,,,,
2011,,,,,,,,,
2011,387,161,226,285,18,53,31,,
2011,32,16,16,30,,,,,
2011,23,7,16,22,,,,,
2011,7,,5,7,,,,,
2011,24,8,16,23,,,,,
2011,161,64,98,143,,14,,,
2011,481,216,265,350,17,70,20,,14
2011,53,29,24,25,6,16,5,,
2011,20,12,8,13,,6,,,
2011,18,11,7,7,,7,,,
2011,16,6,10,7,,,,,
2011,63,30,33,42,,12,,,
2011,,,,,,,,,
2011,20,12,8,10,,7,,,
2011,,,,,,,,,
2011,22,14,9,12,,8,,,
2011,,,,,,,,,
2011,13,8,5,12,,,,,
2011,,,,,,,,,
2011,7,,,6,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,16,,12,9,,,,,
2011,80,35,45,68,,,,,
2011,14,6,8,13,,,,,
2011,8,,7,5,,,,,
2011,20,10,10,16,,,,,
2011,,,,,,,,,
2011,27,14,13,24,,,,,
2011,,,,,,,,,
2011,7,,5,6,,,,,
2011,,,,,,,,,
2011,106,41,65,91,,6,,,
2011,32,13,19,30,,,,,
2011,38,14,24,31,,,,,
2011,,,,,,,,,
2011,22,5,17,20,,,,,
2011,15,10,5,11,,,,,
2011,123,58,65,98,,13,,,
2011,,,,,,,,,
2011,38,20,18,27,,6,,,
2011,15,8,6,12,,,,,
2011,17,8,9,12,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,9,,6,9,,,,,
2011,9,,8,8,,,,,
2011,26,14,12,23,,,,,
2011,5,,,,,,,,
2011,56,23,33,26,,19,5,,
2011,17,7,10,6,,7,,,
2011,,,,,,,,,
2011,18,7,11,10,,6,,,
2011,12,5,6,5,,5,,,
2011,71,30,41,32,,24,5,,
2011,98,44,54,72,,12,,,5
2011,87,35,51,64,,12,,,
2011,86,44,42,62,5,11,7,,
2011,140,63,77,120,,10,,,
2011,29,12,17,28,,,,,
2011,28,12,16,11,,12,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,16,10,6,8,,6,,,
2011,15,,12,13,,,,,
2011,34,18,16,24,,5,,,
2011,,,,,,,,,
2011,13,8,5,12,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,41,14,27,34,,,,,
2011,5,,,5,,,,,
2011,165,76,89,113,8,27,10,,5
2011,25,12,12,23,,,,,
2011,,,,,,,,,
2011,13,9,,9,,,,,
2011,80,32,49,59,,9,,,
2011,424,236,188,297,21,51,25,,12
2011,65,34,31,29,13,11,9,,
2011,22,13,9,13,,,,,
2011,25,15,11,14,,5,,,
2011,19,7,12,,5,,5,,
2011,94,49,45,71,,9,,,7
2011,,,,,,,,,
2011,35,17,18,24,,,,,6
2011,,,,,,,,,
2011,38,19,19,26,,,,,6
2011,,,,,,,,,
2011,13,5,8,11,,,,,
2011,,,,,,,,,
2011,10,5,5,9,,,,,
2011,8,5,,6,,,,,
2011,6,,,5,,,,,
2011,15,9,7,10,,,,,
2011,101,61,40,85,,5,6,,
2011,16,11,5,15,,,,,
2011,15,10,,9,,,,,
2011,23,13,10,22,,,,,
2011,28,19,9,21,,,,,
2011,,,,,,,,,
2011,8,,5,5,,,,,
2011,12,5,7,12,,,,,
2011,44,23,21,41,,,,,
2011,8,6,,6,,,,,
2011,17,8,9,16,,,,,
2011,,,,,,,,,
2011,8,,5,8,,,,,
2011,9,5,5,9,,,,,
2011,51,29,22,43,,,,,
2011,,,,,,,,,
2011,12,8,,10,,,,,
2011,10,6,5,10,,,,,
2011,7,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,5,,,5,,,,,
2011,,,,,,,,,
2011,9,,5,9,,,,,
2011,,,,,,,,,
2011,69,40,29,28,,24,7,,
2011,24,12,12,11,,10,,,
2011,,,,,,,,,
2011,8,,5,,,,,,
2011,15,12,,,,5,,,
2011,17,9,7,8,,6,,,
2011,81,43,37,30,,27,10,,
2011,124,65,59,99,5,9,,,7
2011,56,32,24,45,,,,,
2011,103,63,41,67,11,12,9,,
2011,60,33,28,56,,,,,
2011,7,5,,5,,,,,
2011,39,21,18,17,,16,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,29,14,14,19,,,,,5
2011,6,,,6,,,,,
2011,10,7,,8,,,,,
2011,,,,,,,,,
2011,13,5,7,11,,,,,
2011,7,5,,6,,,,,
2011,8,,5,,,,,,
2011,18,9,9,17,,,,,
2011,,,,,,,,,
2011,190,112,78,122,17,21,17,,
2011,9,,6,9,,,,,
2011,6,,,5,,,,,
2011,,,,,,,,,
2011,8,,,8,,,,,
2011,67,37,30,54,,6,,,
2011,209,108,101,171,6,21,,,
2011,18,8,10,14,,,,,
2011,9,,5,7,,,,,
2011,7,,,6,,,,,
2011,,,,,,,,,
2011,18,10,8,13,,,,,
2011,,,,,,,,,
2011,7,6,,6,,,,,
2011,,,,,,,,,
2011,8,6,,6,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,30,14,16,25,,,,,
2011,5,,,5,,,,,
2011,,,,,,,,,
2011,6,,,,,,,,
2011,,,,,,,,,
2011,6,,,5,,,,,
2011,9,6,,6,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,33,18,15,30,,,,,
2011,10,6,,10,,,,,
2011,12,8,,10,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,7,,,6,,,,,
2011,100,54,46,81,,14,,,
2011,,,,,,,,,
2011,33,17,16,27,,5,,,
2011,8,,5,6,,,,,
2011,20,10,10,16,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,13,8,5,11,,,,,
2011,5,,,5,,,,,
2011,12,8,,10,,,,,
2011,,,,,,,,,
2011,10,,6,8,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,13,5,8,9,,,,,
2011,38,20,18,31,,,,,
2011,71,36,35,57,,9,,,
2011,31,14,17,26,,,,,
2011,56,34,22,48,,6,,,
2011,10,6,,10,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,6,6,,5,,,,,
2011,,,,,,,,,
2011,31,16,14,24,,5,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,12,8,,10,,,,,
2011,10,7,,8,,,,,
2011,72,33,39,58,,6,,,
2011,9,6,,9,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,7,,,6,,,,,
2011,36,18,19,27,,7,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
2011,,,,,,,,,
